DATE,Temperature,Wind,Dew,Sky,Visibility,ATM,Wind-Dir,Wind-Rate,sin_wind,cos_wind
2019-01-01T00:00:00,8.91,"999,9,C,0000,1",7.81,99999,6000,1016.51,999,0.0,,
2019-01-01T00:11:00,8.95,"999,9,C,0000,5",7.85,152,4023,9999.99,999,0.0,,
2019-01-01T00:17:00,8.95,"999,9,C,0000,5",7.85,122,2414,9999.99,999,0.0,,
2019-01-01T00:22:00,8.35,"999,9,C,0000,5",6.75,122,1207,9999.99,999,0.0,,
2019-01-01T00:47:00,8.05,"999,9,C,0000,5",7.05,122,1609,9999.99,999,0.0,,
2019-01-01T00:52:00,8.35,"999,9,C,0000,5",7.25,122,1609,1015.25,999,0.0,,
2019-01-01T01:14:00,8.95,"999,9,C,0000,5",7.85,91,3219,9999.99,999,0.0,,
2019-01-01T01:19:00,8.95,"180,5,N,0015,5",7.85,91,2816,9999.99,180,1.5,1.2246467991473532e-16,-1.0
2019-01-01T01:32:00,8.35,"180,5,N,0021,5",7.85,91,1207,9999.99,180,2.1,1.2246467991473532e-16,-1.0
2019-01-01T01:49:00,9.05,"200,5,N,0021,5",8.05,122,1609,9999.99,200,2.1,-0.34202014332566866,-0.9396926207859084
2019-01-01T01:52:00,8.95,"190,5,N,0026,5",7.85,91,2012,1013.75,190,2.6,-0.17364817766693047,-0.984807753012208
2019-01-01T02:10:00,9.45,"200,5,N,0015,5",8.35,91,3219,9999.99,200,1.5,-0.34202014332566866,-0.9396926207859084
2019-01-01T02:13:00,9.45,"180,5,N,0026,5",8.35,91,2816,9999.99,180,2.6,1.2246467991473532e-16,-1.0
2019-01-01T02:40:00,10.05,"230,5,N,0021,5",8.35,91,4023,9999.99,230,2.1,-0.7660444431189779,-0.6427876096865395
2019-01-01T02:49:00,10.05,"210,5,N,0026,5",9.05,91,4828,9999.99,210,2.6,-0.5000000000000001,-0.8660254037844386
2019-01-01T02:52:00,10.05,"220,5,N,0031,5",8.95,91,4828,1012.75,220,3.1,-0.6427876096865393,-0.766044443118978
2019-01-01T03:00:00,10.01,"220,1,N,0031,1",8.91,99999,4800,1012.71,220,3.1,-0.6427876096865393,-0.766044443118978
2019-01-01T03:03:00,10.05,"200,5,N,0026,5",8.95,91,4023,9999.99,200,2.6,-0.34202014332566866,-0.9396926207859084
2019-01-01T03:24:00,10.05,"180,5,N,0021,5",8.95,91,2816,9999.99,180,2.1,1.2246467991473532e-16,-1.0
2019-01-01T03:52:00,10.05,"220,5,N,0021,5",8.95,91,1609,1011.65,220,2.1,-0.6427876096865393,-0.766044443118978
2019-01-01T04:52:00,10.65,"200,5,N,0026,5",9.45,91,1609,1010.65,200,2.6,-0.34202014332566866,-0.9396926207859084
2019-01-01T04:56:00,10.65,"200,5,N,0026,5",9.45,91,1207,9999.99,200,2.6,-0.34202014332566866,-0.9396926207859084
2019-01-01T04:59:00,999.99,"999,9,9,9999,9",999.99,99999,999999,9999.99,999,999.9,,
2019-01-01T04:59:00,999.99,"999,9,9,9999,9",999.99,99999,999999,9999.99,999,999.9,,
2019-01-01T05:33:00,10.05,"190,5,N,0057,5",8.95,61,402,9999.99,190,5.7,-0.17364817766693047,-0.984807753012208
2019-01-01T05:52:00,10.65,"190,5,N,0067,5",9.45,91,1207,1008.55,190,6.7,-0.17364817766693047,-0.984807753012208
2019-01-01T05:55:00,10.65,"190,5,N,0072,5",10.05,91,2012,9999.99,190,7.2,-0.17364817766693047,-0.984807753012208
2019-01-01T06:00:00,10.61,"190,1,N,0067,1",9.41,240,1200,1008.51,190,6.7,-0.17364817766693047,-0.984807753012208
2019-01-01T06:30:00,13.35,"210,5,N,0072,5",12.25,152,16093,9999.99,210,7.2,-0.5000000000000001,-0.8660254037844386
2019-01-01T06:52:00,13.95,"210,5,N,0072,5",12.25,183,16093,1008.25,210,7.2,-0.5000000000000001,-0.8660254037844386
2019-01-01T07:06:00,14.45,"200,5,N,0082,5",12.85,274,16093,9999.99,200,8.2,-0.34202014332566866,-0.9396926207859084
2019-01-01T07:21:00,15.05,"220,5,N,0072,5",13.35,335,16093,9999.99,220,7.2,-0.6427876096865393,-0.766044443118978
2019-01-01T07:52:00,16.15,"210,5,N,0082,5",13.95,3962,16093,1007.55,210,8.2,-0.5000000000000001,-0.8660254037844386
2019-01-01T08:52:00,16.75,"210,5,N,0057,5",13.95,3962,16093,1007.15,210,5.7,-0.5000000000000001,-0.8660254037844386
2019-01-01T09:00:00,16.71,"210,1,N,0057,1",13.91,99999,16000,1007.11,210,5.7,-0.5000000000000001,-0.8660254037844386
2019-01-01T09:52:00,17.25,"210,5,N,0062,5",13.95,3962,16093,1007.05,210,6.2,-0.5000000000000001,-0.8660254037844386
2019-01-01T10:52:00,16.15,"230,5,N,0031,5",13.95,3962,16093,1008.05,230,3.1,-0.7660444431189779,-0.6427876096865395
2019-01-01T11:52:00,16.75,"240,5,N,0036,5",13.35,3962,16093,1009.45,240,3.6,-0.8660254037844384,-0.5000000000000004
2019-01-01T12:00:00,16.71,"240,1,N,0036,1",13.309999999999999,99999,16000,1009.4100000000001,240,3.6,-0.8660254037844384,-0.5000000000000004
2019-01-01T12:52:00,16.75,"230,5,N,0036,5",13.35,4267,16093,1009.95,230,3.6,-0.7660444431189779,-0.6427876096865395
2019-01-01T13:52:00,16.15,"190,5,N,0051,5",12.85,7010,16093,1012.15,190,5.1,-0.17364817766693047,-0.984807753012208
2019-01-01T14:52:00,17.85,"300,5,N,0046,5",8.35,4877,16093,1013.15,300,4.6,-0.8660254037844386,0.5000000000000001
2019-01-01T15:00:00,17.81,"300,1,N,0046,1",8.309999999999999,99999,16000,1013.11,300,4.6,-0.8660254037844386,0.5000000000000001
2019-01-01T15:52:00,17.25,"310,5,N,0062,5",7.25,7010,16093,1013.85,310,6.2,-0.7660444431189781,0.6427876096865393
2019-01-01T16:52:00,16.15,"340,5,N,0077,5",6.75,7010,16093,1014.55,340,7.7,-0.3420201433256686,0.9396926207859084
2019-01-01T17:52:00,16.15,"320,5,N,0062,5",5.65,7010,16093,1015.05,320,6.2,-0.6427876096865396,0.7660444431189778
2019-01-01T18:00:00,16.11,"320,1,N,0062,1",5.61,99999,16000,1015.01,320,6.2,-0.6427876096865396,0.7660444431189778
2019-01-01T18:52:00,15.05,"320,5,N,0077,5",5.65,5182,16093,1016.45,320,7.7,-0.6427876096865396,0.7660444431189778
2019-01-01T19:52:00,13.35,"340,5,N,0051,5",5.05,8534,16093,1017.75,340,5.1,-0.3420201433256686,0.9396926207859084
2019-01-01T20:52:00,12.25,"340,5,N,0077,5",3.95,8534,16093,1019.15,340,7.7,-0.3420201433256686,0.9396926207859084
2019-01-01T21:00:00,12.209999999999999,"340,1,N,0077,1",3.91,99999,16000,1019.11,340,7.7,-0.3420201433256686,0.9396926207859084
2019-01-01T21:52:00,11.75,"340,5,N,0067,5",3.35,8534,16093,1019.95,340,6.7,-0.3420201433256686,0.9396926207859084
2019-01-01T22:52:00,11.15,"340,5,N,0077,5",2.85,8534,16093,1021.15,340,7.7,-0.3420201433256686,0.9396926207859084
2019-01-01T23:52:00,10.65,"340,5,N,0057,5",2.85,8534,16093,1022.45,340,5.7,-0.3420201433256686,0.9396926207859084
2019-01-02T00:00:00,10.61,"340,1,N,0057,1",2.81,99999,16000,1022.4100000000001,340,5.7,-0.3420201433256686,0.9396926207859084
2019-01-02T00:52:00,9.45,"340,5,N,0051,5",2.25,8534,16093,1023.15,340,5.1,-0.3420201433256686,0.9396926207859084
2019-01-02T01:52:00,9.45,"340,5,N,0051,5",1.75,8534,16093,1023.25,340,5.1,-0.3420201433256686,0.9396926207859084
2019-01-02T02:52:00,8.95,"350,5,N,0031,5",1.15,8534,16093,1023.15,350,3.1,-0.1736481776669304,0.984807753012208
2019-01-02T03:00:00,8.91,"350,1,N,0031,1",1.1099999999999999,99999,16000,1023.11,350,3.1,-0.1736481776669304,0.984807753012208
2019-01-02T03:52:00,8.95,"340,5,N,0021,5",1.15,7620,16093,1023.15,340,2.1,-0.3420201433256686,0.9396926207859084
2019-01-02T04:52:00,7.25,"350,5,N,0036,5",1.15,7620,16093,1023.25,350,3.6,-0.1736481776669304,0.984807753012208
2019-01-02T04:59:00,999.99,"999,9,9,9999,9",999.99,99999,999999,9999.99,999,999.9,,
2019-01-02T05:52:00,7.85,"020,5,N,0041,5",1.75,7620,16093,1023.15,20,4.1,0.3420201433256687,0.9396926207859084
2019-01-02T06:00:00,7.81,"020,1,N,0041,1",1.7100000000000002,99999,16000,1023.11,20,4.1,0.3420201433256687,0.9396926207859084
2019-01-02T06:52:00,7.25,"020,5,N,0026,5",1.15,7620,16093,1023.85,20,2.6,0.3420201433256687,0.9396926207859084
2019-01-02T07:52:00,6.75,"070,5,N,0021,5",1.75,7620,16093,1024.35,70,2.1,0.9396926207859083,0.3420201433256688
2019-01-02T08:52:00,6.15,"200,5,N,0015,5",1.15,7620,16093,1024.65,200,1.5,-0.34202014332566866,-0.9396926207859084
2019-01-02T09:00:00,6.11,"200,1,N,0015,1",1.1099999999999999,99999,16000,1024.6100000000001,200,1.5,-0.34202014332566866,-0.9396926207859084
2019-01-02T09:52:00,6.15,"220,5,N,0015,5",1.75,1341,16093,1024.75,220,1.5,-0.6427876096865393,-0.766044443118978
2019-01-02T10:52:00,6.15,"200,5,N,0015,5",2.25,1402,16093,1025.35,200,1.5,-0.34202014332566866,-0.9396926207859084
2019-01-02T11:52:00,6.75,"190,5,N,0015,5",3.35,1402,16093,1026.45,190,1.5,-0.17364817766693047,-0.984807753012208
2019-01-02T12:00:00,6.709999999999999,"190,1,N,0015,1",3.31,99999,16000,1026.41,190,1.5,-0.17364817766693047,-0.984807753012208
2019-01-02T12:52:00,6.75,"180,5,N,0026,5",3.35,1402,16093,1026.65,180,2.6,1.2246467991473532e-16,-1.0
2019-01-02T13:52:00,7.25,"999,9,C,0000,5",3.95,1402,16093,1027.45,999,0.0,,
2019-01-02T14:52:00,7.85,"180,5,N,0015,5",2.85,1402,16093,1027.45,180,1.5,1.2246467991473532e-16,-1.0
2019-01-02T15:00:00,7.81,"180,1,N,0015,1",2.81,99999,16000,1027.41,180,1.5,1.2246467991473532e-16,-1.0
2019-01-02T15:52:00,8.35,"180,5,N,0021,5",1.75,1372,16093,1026.85,180,2.1,1.2246467991473532e-16,-1.0
2019-01-02T16:52:00,8.35,"150,5,N,0031,5",1.75,1280,16093,1026.05,150,3.1,0.49999999999999994,-0.8660254037844387
2019-01-02T17:52:00,8.95,"150,5,N,0026,5",1.75,1280,16093,1025.25,150,2.6,0.49999999999999994,-0.8660254037844387
2019-01-02T18:00:00,8.91,"150,1,N,0026,1",1.7100000000000002,99999,16000,1025.21,150,2.6,0.49999999999999994,-0.8660254037844387
2019-01-02T18:52:00,8.35,"180,5,N,0036,5",1.75,1250,16093,1025.15,180,3.6,1.2246467991473532e-16,-1.0
2019-01-02T19:52:00,8.35,"180,5,N,0031,5",2.25,1189,16093,1023.75,180,3.1,1.2246467991473532e-16,-1.0
2019-01-02T20:52:00,8.35,"180,5,N,0036,5",2.25,1158,16093,1023.15,180,3.6,1.2246467991473532e-16,-1.0
2019-01-02T21:00:00,8.309999999999999,"180,1,N,0036,1",2.21,99999,16000,1023.11,180,3.6,1.2246467991473532e-16,-1.0
2019-01-02T21:52:00,8.35,"150,5,N,0021,5",1.75,1158,16093,1022.45,150,2.1,0.49999999999999994,-0.8660254037844387
2019-01-02T22:52:00,7.85,"150,5,N,0026,5",1.75,1158,16093,1022.05,150,2.6,0.49999999999999994,-0.8660254037844387
2019-01-02T23:52:00,7.85,"130,5,N,0015,5",1.15,1219,16093,1022.05,130,1.5,0.766044443118978,-0.6427876096865394
2019-01-03T00:00:00,7.81,"130,1,N,0015,1",1.1099999999999999,99999,16000,1022.01,130,1.5,0.766044443118978,-0.6427876096865394
2019-01-03T00:52:00,7.85,"150,5,N,0031,5",1.15,1372,16093,1021.45,150,3.1,0.49999999999999994,-0.8660254037844387
2019-01-03T01:52:00,7.85,"150,5,N,0021,5",1.75,1341,16093,1020.65,150,2.1,0.49999999999999994,-0.8660254037844387
2019-01-03T02:52:00,7.85,"180,5,N,0031,5",2.85,1372,16093,1019.85,180,3.1,1.2246467991473532e-16,-1.0
2019-01-03T03:00:00,7.81,"180,1,N,0031,1",2.81,99999,16000,1019.8100000000001,180,3.1,1.2246467991473532e-16,-1.0
2019-01-03T03:52:00,7.85,"180,5,N,0046,5",3.35,1341,16093,1018.15,180,4.6,1.2246467991473532e-16,-1.0
2019-01-03T04:52:00,7.85,"190,5,N,0036,5",3.95,1097,16093,1016.95,190,3.6,-0.17364817766693047,-0.984807753012208
2019-01-03T04:59:00,999.99,"999,9,9,9999,9",999.99,99999,999999,9999.99,999,999.9,,
2019-01-03T05:52:00,7.85,"190,5,N,0041,5",3.95,2286,16093,1015.85,190,4.1,-0.17364817766693047,-0.984807753012208
2019-01-03T06:00:00,7.81,"190,1,N,0041,1",3.91,99999,16000,1015.8100000000001,190,4.1,-0.17364817766693047,-0.984807753012208
2019-01-03T06:52:00,7.85,"190,5,N,0031,5",3.35,3962,16093,1015.35,190,3.1,-0.17364817766693047,-0.984807753012208
2019-01-03T07:52:00,7.85,"210,5,N,0021,5",3.35,3658,16093,1014.45,210,2.1,-0.5000000000000001,-0.8660254037844386
2019-01-03T08:52:00,7.85,"230,5,N,0026,5",3.35,4267,16093,1014.25,230,2.6,-0.7660444431189779,-0.6427876096865395
2019-01-03T09:00:00,7.81,"230,1,N,0026,1",3.31,99999,16000,1014.21,230,2.6,-0.7660444431189779,-0.6427876096865395
2019-01-03T09:52:00,7.85,"190,5,N,0015,5",3.95,3048,16093,1013.35,190,1.5,-0.17364817766693047,-0.984807753012208
2019-01-03T10:52:00,8.35,"999,9,C,0000,5",3.95,3048,16093,1013.65,999,0.0,,
2019-01-03T11:52:00,8.35,"210,5,N,0021,5",3.95,4267,16093,1014.15,210,2.1,-0.5000000000000001,-0.8660254037844386
2019-01-03T12:00:00,8.309999999999999,"210,1,N,0021,1",3.91,99999,16000,1014.11,210,2.1,-0.5000000000000001,-0.8660254037844386
2019-01-03T12:52:00,8.35,"220,5,N,0021,5",3.95,4877,16093,1015.15,220,2.1,-0.6427876096865393,-0.766044443118978
2019-01-03T13:52:00,8.95,"999,9,C,0000,5",3.95,4877,16093,1015.85,999,0.0,,
2019-01-03T14:52:00,9.45,"360,5,N,0026,5",3.95,4877,16093,1016.75,360,2.6,-2.4492935982947064e-16,1.0
2019-01-03T15:00:00,9.41,"360,1,N,0026,1",3.91,99999,16000,1016.71,360,2.6,-2.4492935982947064e-16,1.0
2019-01-03T15:52:00,10.05,"340,5,N,0072,5",2.85,5182,16093,1016.55,340,7.2,-0.3420201433256686,0.9396926207859084
2019-01-03T16:52:00,10.05,"320,5,N,0062,5",0.05,5791,16093,1016.25,320,6.2,-0.6427876096865396,0.7660444431189778
2019-01-03T17:52:00,10.65,"330,5,N,0077,5",0.05,6096,16093,1016.15,330,7.7,-0.5000000000000004,0.8660254037844384
2019-01-03T18:00:00,10.61,"330,1,N,0077,1",0.01,99999,16000,1016.11,330,7.7,-0.5000000000000004,0.8660254037844384
2019-01-03T18:52:00,10.05,"330,5,N,0082,5",-0.65,7620,16093,1015.85,330,8.2,-0.5000000000000004,0.8660254037844384
2019-01-03T19:52:00,10.05,"340,5,N,0067,5",-1.15,7620,16093,1016.35,340,6.7,-0.3420201433256686,0.9396926207859084
2019-01-03T20:52:00,9.45,"330,5,N,0041,5",-1.15,6401,16093,1016.35,330,4.1,-0.5000000000000004,0.8660254037844384
2019-01-03T21:00:00,9.41,"330,1,N,0041,1",-1.1099999999999999,99999,16000,1016.3100000000001,330,4.1,-0.5000000000000004,0.8660254037844384
2019-01-03T21:52:00,7.85,"350,5,N,0026,5",-1.75,6706,16093,1016.55,350,2.6,-0.1736481776669304,0.984807753012208
2019-01-03T22:52:00,7.25,"020,5,N,0026,5",-1.15,7010,16093,1017.45,20,2.6,0.3420201433256687,0.9396926207859084
2019-01-03T23:52:00,7.85,"999,9,C,0000,5",-0.65,7315,16093,1017.95,999,0.0,,
2019-01-04T00:00:00,7.81,"999,9,C,0000,1",-0.61,99999,16000,1017.9100000000001,999,0.0,,
2019-01-04T00:52:00,7.25,"360,5,N,0015,5",-0.65,7620,16093,1018.45,360,1.5,-2.4492935982947064e-16,1.0
2019-01-04T01:52:00,6.15,"999,9,C,0000,5",-0.65,22000,16093,1019.15,999,0.0,,
2019-01-04T02:52:00,6.15,"080,5,N,0015,5",-0.65,7620,16093,1019.05,80,1.5,0.984807753012208,0.17364817766693041
2019-01-04T03:00:00,6.11,"080,1,N,0015,1",-0.61,99999,16000,1019.01,80,1.5,0.984807753012208,0.17364817766693041
2019-01-04T03:52:00,5.65,"040,5,N,0015,5",0.05,7620,16093,1019.05,40,1.5,0.6427876096865393,0.766044443118978
2019-01-04T04:52:00,5.05,"150,5,N,0015,5",0.65,7620,16093,1018.55,150,1.5,0.49999999999999994,-0.8660254037844387
